
     ######################################################################
   ##########################################################################
  ###                                                                      ###
 ###            Tinker  ---  Software Tools for Molecular Design            ###
 ##                                                                          ##
 ##                      Version 8.10.2   February 2022                      ##
 ##                                                                          ##
 ##               Copyright (c)  Jay William Ponder  1990-2022               ##
 ###                           All Rights Reserved                          ###
  ###                                                                      ###
   ##########################################################################
     ######################################################################


 Number of Coordinate Frames :           401
 Number of Distance Bins :              2338

 Reading the Coordinates Archive File :

    Processing Coordinate Frame          100
    Processing Coordinate Frame          200
    Processing Coordinate Frame          300
    Processing Coordinate Frame          400
    Processing Coordinate Frame          401

 Pairwise Radial Distribution Function :

       First Name or Type :  2          Second Name or Type :  2     

     Bin         Counts       Distance       Raw g(r)    Smooth g(r)

       1              0         0.0050         0.0000         0.0000
       2              0         0.0150         0.0000         0.0000
       3              0         0.0250         0.0000         0.0000
       4              0         0.0350         0.0000         0.0000
       5              0         0.0450         0.0000         0.0000
       6              0         0.0550         0.0000         0.0000
       7              0         0.0650         0.0000         0.0000
       8              0         0.0750         0.0000         0.0000
       9              0         0.0850         0.0000         0.0000
      10              0         0.0950         0.0000         0.0000
      11              0         0.1050         0.0000         0.0000
      12              0         0.1150         0.0000         0.0000
      13              0         0.1250         0.0000         0.0000
      14              0         0.1350         0.0000         0.0000
      15              0         0.1450         0.0000         0.0000
      16              0         0.1550         0.0000         0.0000
      17              0         0.1650         0.0000         0.0000
      18              0         0.1750         0.0000         0.0000
      19              0         0.1850         0.0000         0.0000
      20              0         0.1950         0.0000         0.0000
      21              0         0.2050         0.0000         0.0000
      22              0         0.2150         0.0000         0.0000
      23              0         0.2250         0.0000         0.0000
      24              0         0.2350         0.0000         0.0000
      25              0         0.2450         0.0000         0.0000
      26              0         0.2550         0.0000         0.0000
      27              0         0.2650         0.0000         0.0000
      28              0         0.2750         0.0000         0.0000
      29              0         0.2850         0.0000         0.0000
      30              0         0.2950         0.0000         0.0000
      31              0         0.3050         0.0000         0.0000
      32              0         0.3150         0.0000         0.0000
      33              0         0.3250         0.0000         0.0000
      34              0         0.3350         0.0000         0.0000
      35              0         0.3450         0.0000         0.0000
      36              0         0.3550         0.0000         0.0000
      37              0         0.3650         0.0000         0.0000
      38              0         0.3750         0.0000         0.0000
      39              0         0.3850         0.0000         0.0000
      40              0         0.3950         0.0000         0.0000
      41              0         0.4050         0.0000         0.0000
      42              0         0.4150         0.0000         0.0000
      43              0         0.4250         0.0000         0.0000
      44              0         0.4350         0.0000         0.0000
      45              0         0.4450         0.0000         0.0000
      46              0         0.4550         0.0000         0.0000
      47              0         0.4650         0.0000         0.0000
      48              0         0.4750         0.0000         0.0000
      49              0         0.4850         0.0000         0.0000
      50              0         0.4950         0.0000         0.0000
      51              0         0.5050         0.0000         0.0000
      52              0         0.5150         0.0000         0.0000
      53              0         0.5250         0.0000         0.0000
      54              0         0.5350         0.0000         0.0000
      55              0         0.5450         0.0000         0.0000
      56              0         0.5550         0.0000         0.0000
      57              0         0.5650         0.0000         0.0000
      58              0         0.5750         0.0000         0.0000
      59              0         0.5850         0.0000         0.0000
      60              0         0.5950         0.0000         0.0000
      61              0         0.6050         0.0000         0.0000
      62              0         0.6150         0.0000         0.0000
      63              0         0.6250         0.0000         0.0000
      64              0         0.6350         0.0000         0.0000
      65              0         0.6450         0.0000         0.0000
      66              0         0.6550         0.0000         0.0000
      67              0         0.6650         0.0000         0.0000
      68              0         0.6750         0.0000         0.0000
      69              0         0.6850         0.0000         0.0000
      70              0         0.6950         0.0000         0.0000
      71              0         0.7050         0.0000         0.0000
      72              0         0.7150         0.0000         0.0000
      73              0         0.7250         0.0000         0.0000
      74              0         0.7350         0.0000         0.0000
      75              0         0.7450         0.0000         0.0000
      76              0         0.7550         0.0000         0.0000
      77              0         0.7650         0.0000         0.0000
      78              0         0.7750         0.0000         0.0000
      79              0         0.7850         0.0000         0.0000
      80              0         0.7950         0.0000         0.0000
      81              0         0.8050         0.0000         0.0000
      82              0         0.8150         0.0000         0.0000
      83              0         0.8250         0.0000         0.0000
      84              0         0.8350         0.0000         0.0000
      85              0         0.8450         0.0000         0.0000
      86              0         0.8550         0.0000         0.0000
      87              0         0.8650         0.0000         0.0000
      88              0         0.8750         0.0000         0.0000
      89              0         0.8850         0.0000         0.0000
      90              0         0.8950         0.0000         0.0000
