#r     goo    r    ghh   goh   
0.025 0.000  0.05 0.000 0.000    
0.075 0.000  0.15 0.000 0.000    
0.125 0.000  0.25 0.000 0.000    
0.175 0.000  0.35 0.000 0.000    
0.225 0.000  0.45 0.000 0.000    
0.275 0.000  0.55 0.000 0.000    
0.325 0.000  0.65 0.000 0.000    
0.375 0.000  0.75 0.000 0.000    
0.425 0.000  0.85 0.000 0.004    
0.475 0.000  0.95 0.000 0.000    
0.525 0.000  1.05 0.000 0.000    
0.575 0.000  1.15 0.000 0.000    
0.625 0.000  1.25 0.000 0.002    
0.675 0.000  1.35 0.000 0.006    
0.725 0.000  1.45 0.000 0.017    
0.775 0.000  1.55 0.000 0.076    
0.825 0.000  1.65 0.000 0.357    
0.875 0.000  1.75 0.018 0.994    
0.925 0.000  1.85 0.150 1.385    
0.975 0.000  1.95 0.395 1.117    
1.025 0.000  2.05 0.662 0.680    
1.075 0.000  2.15 0.923 0.414    
1.125 0.000  2.25 1.123 0.300    
1.175 0.000  2.35 1.239 0.265    
1.225 0.000  2.45 1.256 0.269    
1.275 0.000  2.55 1.183 0.296    
1.325 0.000  2.65 1.067 0.349    
1.375 0.000  2.75 0.939 0.441    
1.425 0.000  2.85 0.835 0.596    
1.475 0.000  2.95 0.779 0.832    
1.525 0.000  3.05 0.756 1.132    
1.575 0.000  3.15 0.773 1.418    
1.625 0.000  3.25 0.815 1.587    
1.675 0.000  3.35 0.878 1.596   
1.725 0.000  3.45 0.955 1.489   
1.775 0.000  3.55 1.035 1.347   
1.825 0.000  3.65 1.103 1.226   
1.875 0.000  3.75 1.150 1.137   
1.925 0.000  3.85 1.168 1.072   
1.975 0.000  3.95 1.163 1.020   
2.025 0.001  4.05 1.148 0.979
2.075 0.002  4.15 1.117 0.955
2.125 0.008  4.25 1.082 0.952
2.175 0.019  4.35 1.049 0.967
2.225 0.040  4.45 1.024 0.983
2.275 0.072  4.55 1.005 0.983
2.325 0.116  4.65 0.992 0.963
2.375 0.170  4.75 0.992 0.933
2.425 0.233  4.85 0.994 0.914
2.475 0.306  4.95 0.991 0.920
2.525 0.399  5.05 0.984 0.950
2.575 0.541  5.15 0.979 0.991
2.625 0.782  5.25 0.969 1.022
2.675 1.179  5.35 0.962 1.030
2.725 1.746  5.45 0.961 1.017
2.775 2.388  5.55 0.963 0.999
2.825 2.907  5.65 0.967 0.988
2.875 3.092  5.75 0.973 0.989
2.925 2.869  5.85 0.976 0.997
2.975 2.351  5.95 0.984 1.001
3.025 1.758  6.05 0.992 0.995
3.075 1.273  6.15 0.997 0.984
3.125 0.966  6.25 1.004 0.975
3.175 0.813  6.35 1.007 0.973
3.225 0.752  6.45 1.009 0.981
3.275 0.735  6.55 1.008 0.993
3.325 0.734  6.65 1.007 1.003
3.375 0.741  6.75 1.006 1.008
3.425 0.749  6.85 1.006 1.009
3.475 0.760  6.95 1.007 1.008
3.525 0.773  7.05 1.007 1.010
3.575 0.790  7.15 1.008 1.014
3.625 0.807  7.25 1.008 1.019
3.675 0.827  7.35 1.008 1.021
3.725 0.850  7.45 1.008 1.019
3.775 0.873  7.55 1.008 1.014
3.825 0.898  7.65 1.007 1.010
3.875 0.924  7.75 1.005 1.007
3.925 0.950  7.85 1.003 1.006
3.975 0.978  7.95 1.001 1.006
4.025 1.003  8.05 1.000 1.005
4.075 1.027  8.15 0.999 1.002
4.125 1.050  8.25 0.999 0.997
4.175 1.071  8.35 0.999 0.991
4.225 1.089  8.45 0.999 0.986
4.275 1.104  8.55 0.998 0.984
4.325 1.116  8.65 0.998 0.986
4.375 1.126  8.75 0.997 0.989
4.425 1.133  8.85 0.996 0.993
4.475 1.136  8.95 0.996 0.996
