#          r          goo    r           ghh      r          goh   
         0.025     0.000   0.050     0.000	     0.050     0.000	  
        0.075     0.000    0.150     0.000	     0.150     0.000	  
        0.125     0.000    0.250     0.000	     0.250     0.000	  
        0.175     0.000    0.350     0.000	     0.350     0.000	  
        0.225     0.000    0.450     0.000	     0.450     0.000	  
        0.275     0.000    0.550     0.000	     0.550     0.000	  
        0.325     0.000    0.650     0.000	     0.650     0.000	  
        0.375     0.000    0.750     0.000	     0.750     0.000	  
        0.425     0.000    0.850     0.000	     0.850     0.000	  
        0.475     0.000    0.950     0.000	     0.950     0.000	  
        0.525     0.000    1.050     0.000	     1.050     0.000	  
        0.575     0.000    1.150     0.000	     1.150     0.000	  
        0.625     0.000    1.250     0.000	     1.250     0.002	  
        0.675     0.000    1.350     0.000	     1.350     0.006	  
        0.725     0.000    1.450     0.000	     1.450     0.017	  
        0.775     0.000    1.550     0.000	     1.550     0.076	  
        0.825     0.000    1.650     0.000	     1.650     0.357	  
        0.875     0.000    1.750     0.018	     1.750     0.994	  
        0.925     0.000    1.850     0.150	     1.850     1.385	  
        0.975     0.000    1.950     0.395	     1.950     1.117	  
        1.025     0.000    2.050     0.662	     2.050     0.680	  
        1.075     0.000    2.150     0.923	     2.150     0.414	  
        1.125     0.000    2.250     1.123	     2.250     0.300	  
        1.175     0.000    2.350     1.239	     2.350     0.265	  
        1.225     0.000    2.450     1.256	     2.450     0.269	  
        1.275     0.000    2.550     1.183	     2.550     0.296	  
        1.325     0.000    2.650     1.067	     2.650     0.349	  
        1.375     0.000    2.750     0.939	     2.750     0.441	  
        1.425     0.000    2.850     0.835	     2.850     0.596	  
        1.475     0.000    2.950     0.779	     2.950     0.832	  
        1.525     0.000    3.050     0.756	     3.050     1.132	  
        1.575     0.000    3.150     0.773	     3.150     1.418	  
        1.625     0.000    3.250     0.815	     3.250     1.587	  
        1.675     0.000    3.350     0.878	     3.350     1.596	  
        1.725     0.000    3.450     0.955	     3.450     1.489	  
        1.775     0.000    3.550     1.035	     3.550     1.347	  
        1.825     0.000    3.650     1.103	     3.650     1.226	  
        1.875     0.000    3.750     1.150	     3.750     1.137	  
        1.925     0.000    3.850     1.168	     3.850     1.072	  
        1.975     0.000    3.950     1.163	     3.950     1.020	  
        2.025     0.001    4.050     1.148	     4.050     0.979	  
        2.075     0.002    4.150     1.117	     4.150     0.955	  
        2.125     0.008    4.250     1.082	     4.250     0.952	  
        2.175     0.019    4.350     1.049	     4.350     0.967	  
        2.225     0.040    4.450     1.024	     4.450     0.983	  
        2.275     0.072    4.550     1.005	     4.550     0.983	  
        2.325     0.116    4.650     0.992	     4.650     0.963	  
        2.375     0.170    4.750     0.992	     4.750     0.933	  
        2.425     0.233    4.850     0.994	     4.850     0.914	  
        2.475     0.306    4.950     0.991	     4.950     0.920	  
        2.525     0.399    5.050     0.984	     5.050     0.950	  
        2.575     0.541    5.150     0.979	     5.150     0.991	  
        2.625     0.782    5.250     0.969	     5.250     1.022	  
        2.675     1.179    5.350     0.962	     5.350     1.030	  
        2.725     1.746    5.450     0.961	     5.450     1.017	  
        2.775     2.388    5.550     0.963	     5.550     0.999	  
        2.825     2.907    5.650     0.967	     5.650     0.988	  
        2.875     3.092    5.750     0.973	     5.750     0.989	  
        2.925     2.869    5.850     0.976	     5.850     0.997	  
        2.975     2.351    5.950     0.984	     5.950     1.001	  
        3.025     1.758    6.050     0.992	     6.050     0.995	  
        3.075     1.273    6.150     0.997	     6.150     0.984	  
        3.125     0.966    6.250     1.004	     6.250     0.975	  
        3.175     0.813    6.350     1.007	     6.350     0.973	  
        3.225     0.752    6.450     1.009	     6.450     0.981	  
        3.275     0.735    6.550     1.008	     6.550     0.993	  
        3.325     0.734    6.650     1.007	     6.650     1.003	  
        3.375     0.741    6.750     1.006	     6.750     1.008	  
        3.425     0.749    6.850     1.006	     6.850     1.009	  
        3.475     0.760    6.950     1.007	     6.950     1.008	  
        3.525     0.773    7.050     1.007	     7.050     1.010	  
        3.575     0.790    7.150     1.008	     7.150     1.014	  
        3.625     0.807    7.250     1.008	     7.250     1.019	  
        3.675     0.827    7.350     1.008	     7.350     1.021	  
        3.725     0.850    7.450     1.008	     7.450     1.019	  
        3.775     0.873    7.550     1.008	     7.550     1.014	  
        3.825     0.898    7.650     1.007	     7.650     1.010	  
        3.875     0.924    7.750     1.005	     7.750     1.007	  
        3.925     0.950    7.850     1.003	     7.850     1.006	  
        3.975     0.978    7.950     1.001	     7.950     1.006	  
        4.025     1.003    8.050     1.000	     8.050     1.005	  
        4.075     1.027    8.150     0.999	     8.150     1.002	  
        4.125     1.050    8.250     0.999	     8.250     0.997	  
        4.175     1.071    8.350     0.999	     8.350     0.991	  
        4.225     1.089    8.450     0.999	     8.450     0.986	  
        4.275     1.104    8.550     0.998	     8.550     0.984	  
        4.325     1.116    8.650     0.998	     8.650     0.986	  
        4.375     1.126    8.750     0.997	     8.750     0.989	  
        4.425     1.133    8.850     0.996	     8.850     0.993	  
        4.475     1.136    8.950     0.996	     8.950     0.996	  
        4.525     1.136    9.050     0.996	     9.050     0.998	  
        4.575     1.135    9.150     0.996	     9.150     0.999	  
        4.625     1.130    9.250     0.997	     9.250     1.001	  
        4.675     1.122    9.350     0.998	     9.350     1.004	  
        4.725     1.113    9.450     0.999	     9.450     1.006	  
        4.775     1.102    9.550     1.000	     9.550     1.007	  
        4.825     1.088    9.650     1.001	     9.650     1.005	  
        4.875     1.074    9.750     1.002	     9.750     1.001	  
        4.925     1.058    9.850     1.002	     9.850     0.997	  
                                               4.975     1.041
                                               5.025     1.024
                                               5.075     1.007
                                               5.125     0.990
                                               5.175     0.973
                                               5.225     0.957
                                               5.275     0.942
                                               5.325     0.928
                                               5.375     0.916
                                               5.425     0.906
                                               5.475     0.897
                                               5.525     0.890
                                               5.575     0.885
                                               5.625     0.883
                                               5.675     0.882
                                               5.725     0.883
                                               5.775     0.886
                                               5.825     0.892
                                               5.875     0.899
                                               5.925     0.908
                                               5.975     0.919
                                               6.025     0.930
                                               6.075     0.944
                                               6.125     0.958
                                               6.175     0.972
                                               6.225     0.987
                                               6.275     1.001
                                               6.325     1.015
                                               6.375     1.027
                                               6.425     1.039
                                               6.475     1.049
                                               6.525     1.057
                                               6.575     1.064
                                               6.625     1.068
                                               6.675     1.071
                                               6.725     1.072
                                               6.775     1.072
                                               6.825     1.071
                                               6.875     1.068
                                               6.925     1.065
                                               6.975     1.060
                                               7.025     1.055
                                               7.075     1.050
                                               7.125     1.045
                                               7.175     1.039
                                               7.225     1.033
                                               7.275     1.027
                                               7.325     1.022
                                               7.375     1.016
                                               7.425     1.011
                                               7.475     1.006
                                               7.525     1.001
                                               7.575     0.996
                                               7.625     0.992
                                               7.675     0.988
                                               7.725     0.985
                                               7.775     0.983
                                               7.825     0.980
                                               7.875     0.979
                                               7.925     0.978
                                               7.975     0.978
                                               8.025     0.977
                                               8.075     0.978
                                               8.125     0.978
                                               8.175     0.979
                                               8.225     0.980
                                               8.275     0.981
                                               8.325     0.983
                                               8.375     0.984
                                               8.425     0.986
                                               8.475     0.987
                                               8.525     0.989
                                               8.575     0.990
                                               8.625     0.991
                                               8.675     0.993
                                               8.725     0.994
                                               8.775     0.995
                                               8.825     0.996
                                               8.875     0.997
                                               8.925     0.997
                                               8.975     0.998
                                               9.025     0.999
                                               9.075     0.999
                                               9.125     1.000
                                               9.175     1.001
                                               9.225     1.001
                                               9.275     1.002
                                               9.325     1.002
                                               9.375     1.003
                                               9.425     1.003
                                               9.475     1.004
                                               9.525     1.004
                                               9.575     1.005
