#r     goo      goh      ghh
0.00  0.0000   0.0000  0.0000
0.01  0.0000   0.0000   0.0000 
0.03  0.0000   0.0000   0.0000
0.06  0.0000   0.0000   0.0000
0.09  0.0000   0.0000   0.0000
0.12  0.0000   0.0000   0.0000
0.15  0.0000   0.0000   0.0000
0.18  0.0000   0.0000   0.0000
0.21  0.0000   0.0000   0.0000
0.24  0.0000   0.0000   0.0000
0.27  0.0000   0.0000   0.0000
0.30  0.0000   0.0000   0.0000
0.33  0.0000   0.0000   0.0000
0.36  0.0000   0.0000   0.0000
0.39  0.0000   0.0000   0.0000
0.42  0.0000   0.0000   0.0000
0.45  0.0000   0.0000   0.0000
0.48  0.0000   0.0000   0.0000
0.51  0.0000   0.0000   0.0000
0.54  0.0000   0.0000   0.0000
0.57  0.0000   0.0000   0.0000
0.60  0.0000   0.0000   0.0000
0.63  0.0000   0.0000   0.0000
0.66  0.0000   0.0000   0.0000
0.69  0.0000   0.0000   0.0000
0.72  0.0000   0.0000   0.0000
0.75  0.0000   0.0000   0.0000
0.78  0.0000   0.0000   0.0000
0.81  0.0000   0.0000   0.0000
0.84  0.0000   0.0000   0.0000
0.87  0.0000   0.0000   0.0000
0.90  0.0000   0.0000   0.0000
0.93  0.0000   0.0000   0.0000
0.96  0.0000   0.0000   0.0000
0.99  0.0000   0.0000   0.0000
1.02  0.0000   0.0000   0.0000
1.05  0.0000   0.0000   0.0000
1.08  0.0000   0.0001   0.0001
1.11  0.0000   0.0001   0.0001
1.14  0.0000   0.0004   0.0001
1.17  0.0000   0.0009   0.0001
1.20  0.0000   0.0022   0.0002
1.23  0.0000   0.0050   0.0002
1.26  0.0000   0.0104   0.0003
1.29  0.0000   0.0205   0.0003
1.32  0.0000   0.0372   0.0004
1.35  0.0000   0.0627   0.0005
1.38  0.0000   0.0977   0.0006
1.41  0.0000   0.1420   0.0007
1.44  0.0000   0.1953   0.0010
1.47  0.0000   0.2558   0.0016
1.50  0.0000   0.3225   0.0028
1.53  0.0000   0.3941   0.0052
1.56  0.0000   0.4701   0.0103
1.59  0.0000   0.5500   0.0195
1.62  0.0000   0.6319   0.0338
1.65  0.0000   0.7130   0.0533
1.68  0.0000   0.7913   0.0779
1.71  0.0000   0.8641   0.1067
1.74  0.0000   0.9291   0.1400
